SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8792645715282911
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8769378875133449
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8775781827420547
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8647780523733267
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.876493915270592
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8854343100722675
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8787044735977665
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8666203447072349
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8746564347745751
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8497439460663546
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8938912755604829
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8659668971216228
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8475343501067586
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8591825264843557
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.890387615997372
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 3, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8656345595179435
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8836828010799048
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.9007914510963291
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8791481250513262
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8652608401084011
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8907520325203253
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8867877196764394
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8761339897963373
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8659123629588569
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8787112101708137
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.875798444300731
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8725616813459802
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8653837023692206
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8605279163587091
SUCCESS | Hidden: [8, 50], Dropout: 0.1, Heads: 4, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8789835601954504
