SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8643000764761436
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.862235798020859
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8579904738441325
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8348336643877803
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8658517338014288
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8640524272193478
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8670287093495935
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8594882385850373
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8625482466945881
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8640934882360187
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8669908562248502
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8601282130245544
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8615643862404533
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8645361773220005
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8750121899893242
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 1, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8606090760244725
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8755026766650241
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.875855223987846
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8733315754085571
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8601407238030714
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8757939532520325
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8777334447113412
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.002, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8751825290506693
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.002, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8667002212162274
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.01, WD: 0, Optimizer: Adam, Test AUROC: 0.8730332414593086
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.01, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.873728391639977
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.01, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8700967371889627
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.01, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8647575218649913
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.02, WD: 0, Optimizer: Adam, Test AUROC: 0.8743022835057896
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.02, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8593233529399688
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.02, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8793669032807752
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 2, LR: 0.02, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8652136840970684
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.001, WD: 0, Optimizer: Adam, Test AUROC: 0.8739696251129178
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.001, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8734271705879938
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.001, WD: 0.0001, Optimizer: Adam, Test AUROC: 0.8749435411020777
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.001, WD: 0.001, Optimizer: Adam, Test AUROC: 0.8641172266362815
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.002, WD: 0, Optimizer: Adam, Test AUROC: 0.8822610633776793
SUCCESS | Hidden: [6, 30], Dropout: 0.1, Heads: 3, LR: 0.002, WD: 1e-05, Optimizer: Adam, Test AUROC: 0.8793258422641046
